source = i18286_H2O_

MJD    Freq    Val
 18648.625    251.5787108948608    0.18158    
 18648.625    250.7558172976678    0.20159    
 18648.625    249.5214769017754    0.21861    
 18648.625    248.2871365059345    0.25793    
 18648.625    247.46424290869    0.28242    
 18648.625    245.8184557142526    0.24262    
 18648.625    242.1154345267297    0.59528    
 18648.625    240.8810941308373    0.72664    
 18648.625    239.6467537349964    0.61058    
 18648.625    236.7666261446666    1.22019    
 18648.625    232.6521581585472    2.18412    
 18648.625    228.1262433737799    0.22886    
 18648.625    224.8346689848536    0.27372    
 18648.625    218.2515202070009    1.50462    
 18648.625    217.0171798111599    0.89803    
 18648.625    214.1370522208301    1.17348    
 18648.625    182.0442019288625    0.21776    
 18648.625    170.523691567646    0.76668    
 18648.625    168.8779043731571    1.75968    
 18648.625    166.4092235814238    0.99615    
 18648.625    159.8260748036225    2.64588    
 18648.625    156.5345004146961    26.11613    
 18648.625    152.0085856298774    16.62515    
 18648.625    147.8941176437581    20.87977    
 18648.625    146.2483304492692    21.14726    
 18648.625    141.3109688659568    7.30087    
 18648.625    139.2537348728714    3.93142    
 18648.625    135.5507136852971    1.55683    
 18648.625    132.2591392963708    0.66583    
 18648.625    128.5561181088479    0.55655    
 18648.625    126.9103309144105    1.28668    
 18648.625    123.2073097268362    0.91433    
 18648.625    120.7386289351543    1.52188    
 18648.625    118.6813949420689    0.66371    
 18648.625    117.03560774758    0.50166    
 18648.625    115.3898205531426    0.26793    
 18648.625    113.7440333586537    1.66039    
 18648.625    110.0410121711308    2.90978    
 18648.625    108.3952249766934    1.77392    
 18648.625    106.7494377822045    1.15578    
 18648.625    103.869310191926    1.86425    
 18648.625    99.3433954071588    1.08547    
 18648.625    98.5205018098629    1.01141    
 18648.625    96.4632678168289    3.11897    
 18648.625    94.4060338237435    0.89708    
 18648.625    91.9373530320616    1.13425    
 18648.625    90.7030126362207    1.19474    
 18648.625    88.2343318444873    0.70573    
 18648.625    85.3542042542089    1.13654    
 18648.625    82.0626298652826    0.77156    
 18648.625    79.1825022750042    1.29058    
 18648.625    75.4794810874299    0.38152    
 18648.625    73.4222470943445    0.61394    
 18648.625    72.1879066985036    1.2043    
 18648.625    70.5421195040661    0.94154    
 18648.625    68.8963323096286    0.81732    
 18648.625    66.8390983165432    1.11902    
 18648.625    64.7818643234579    1.74503    
 18648.625    63.5475239275655    1.50289    
 18648.625    61.901736733128    2.25483    
 18648.625    60.2559495386906    1.62976    
 18648.625    57.7872687469572    0.92217    
 18648.625    56.1414815525198    0.32186    
 18648.625    54.9071411566274    0.14841    
 18648.625    53.6728007608379    0.15237    
 18648.625    52.4384603649969    0.77931    
 18648.625    51.2041199691045    0.76149    
 18648.625    48.3239923788261    0.48176    
 18648.625    47.0896519829337    0.18546    
 18648.625    45.4438647884963    0.47335    
 18648.625    42.1522903996214    1.30745    
 18648.625    39.2721628092915    1.94979    
 18648.625    36.8034820175582    4.85775    
 18648.625    31.0432268369499    1.80012    
 18648.625    27.751652448075    1.34344    
 18648.625    24.8715248577452    0.3394    
 18648.625    22.4028440660119    0.42101    
 18648.625    21.1685036702223    0.20915    
 18648.625    19.93416327433    0.73842    
 18648.625    14.9968016909662    0.28822    
 18648.625    13.3510144965287    0.34872    
 18648.625    11.7052273020398    0.30524    
 18648.625    10.4708869061989    0.1815    
 18648.625    5.9449721214316    0.19453    
 18648.625    1.0076105380678    0.41392    
 18648.625    -4.3411978439954    0.27185    
 18648.625    -11.3357934204446    0.41471    
 18648.625    -14.627367809371    1.05474    
 18648.625    -17.5074953997008    1.17299    
 18648.625    -20.3876229899792    0.25753    
 18648.625    -22.0334101844167    0.14171    
 18648.625    -27.7936653650763    1.24621    
 18648.625    -29.4394525595138    0.96118    
 18648.625    -31.4966865525992    2.50244    
 18648.625    -33.5539205456846    0.82852    
 18648.625    -34.7882609415255    1.14239    
 18648.625    -36.8454949345595    0.52888    
 18648.625    -38.4912821290484    2.23586    
 18648.625    -41.3714097193782    2.39014    
 18648.625    -43.4286437124636    2.23795    
 18648.625    -46.308771302742    0.35148    
 18648.625    -47.9545584972309    0.74646    
 18648.625    -56.594941268169    0.39876    
 18648.625    -58.2407284626065    0.15573    
 18648.625    -66.8811112335446    0.41608    
 18648.625    -70.5841324210674    1.19447    
 18648.625    -72.6413664141528    4.08215    
 18648.625    -74.6986004072382    0.59518    
 18648.625    -76.7558344003236    1.12773    
 18648.625    -82.1046427822839    0.29461    
 18648.625    -85.3962171712102    2.52703    
 18648.625    -87.8648979629436    0.60349    
 18648.625    -90.333578754574    1.78574    
 18648.625    -93.2137063449039    0.40652    
 18648.625    -103.9113231089274    0.14503    
 18648.625    -173.0343852762778    0.17418    
 18490.625    251.5787108948608    0.18158    
 18490.625    250.7558172976678    0.20159    
 18490.625    249.5214769017754    0.21861    
 18490.625    248.2871365059345    0.25793    
 18490.625    247.46424290869    0.28242    
 18490.625    245.8184557142526    0.24262    
 18490.625    242.1154345267297    0.59528    
 18490.625    240.8810941308373    0.72664    
 18490.625    239.6467537349964    0.61058    
 18490.625    236.7666261446666    1.22019    
 18490.625    232.6521581585472    2.18412    
 18490.625    228.1262433737799    0.22886    
 18490.625    224.8346689848536    0.27372    
 18490.625    218.2515202070009    1.50462    
 18490.625    217.0171798111599    0.89803    
 18490.625    214.1370522208301    1.17348    
 18490.625    182.0442019288625    0.21776    
 18490.625    170.523691567646    0.76668    
 18490.625    168.8779043731571    1.75968    
 18490.625    166.4092235814238    0.99615    
 18490.625    159.8260748036225    2.64588    
 18490.625    156.5345004146961    26.11613    
 18490.625    152.0085856298774    16.62515    
 18490.625    147.8941176437581    20.87977    
 18490.625    146.2483304492692    21.14726    
 18490.625    141.3109688659568    7.30087    
 18490.625    139.2537348728714    3.93142    
 18490.625    135.5507136852971    1.55683    
 18490.625    132.2591392963708    0.66583    
 18490.625    128.5561181088479    0.55655    
 18490.625    126.9103309144105    1.28668    
 18490.625    123.2073097268362    0.91433    
 18490.625    120.7386289351543    1.52188    
 18490.625    118.6813949420689    0.66371    
 18490.625    117.03560774758    0.50166    
 18490.625    115.3898205531426    0.26793    
 18490.625    113.7440333586537    1.66039    
 18490.625    110.0410121711308    2.90978    
 18490.625    108.3952249766934    1.77392    
 18490.625    106.7494377822045    1.15578    
 18490.625    103.869310191926    1.86425    
 18490.625    99.3433954071588    1.08547    
 18490.625    98.5205018098629    1.01141    
 18490.625    96.4632678168289    3.11897    
 18490.625    94.4060338237435    0.89708    
 18490.625    91.9373530320616    1.13425    
 18490.625    90.7030126362207    1.19474    
 18490.625    88.2343318444873    0.70573    
 18490.625    85.3542042542089    1.13654    
 18490.625    82.0626298652826    0.77156    
 18490.625    79.1825022750042    1.29058    
 18490.625    75.4794810874299    0.38152    
 18490.625    73.4222470943445    0.61394    
 18490.625    72.1879066985036    1.2043    
 18490.625    70.5421195040661    0.94154    
 18490.625    68.8963323096286    0.81732    
